,Date,Date (Month),Hurricane,Lat (N),Lat from 20,Long (W),Long from 80,Max_Wind,Month from 9,Start
335,18951012,10,1,12.0,8.0,44.8,35.2,50,1, TS
336,18951013,10,0,19.4,0.6000000000000014,93.7,13.700000000000003,50,1, TS
337,18960704,7,1,20.9,0.8999999999999986,81.1,1.0999999999999943,50,2, TS
338,18960830,8,1,14.0,6.0,59.6,20.4,50,1, TS
339,18960918,9,1,17.1,2.8999999999999986,55.1,24.9,50,0, TS
340,18960922,9,1,16.7,3.3000000000000007,61.8,18.200000000000003,50,0, TS
341,18961007,10,1,22.5,2.5,91.2,11.200000000000003,50,1, TS
342,18961026,10,1,8.7,11.3,44.2,35.8,50,1, TS
343,18961127,11,0,10.9,9.1,61.1,18.9,50,2, TS
344,18970831,8,1,14.0,6.0,24.0,56.0,50,1, TS
345,18970910,9,1,23.7,3.6999999999999993,80.0,0.0,50,0, TS
346,18970920,9,0,24.3,4.300000000000001,83.8,3.799999999999997,50,0, TS
347,18970925,9,0,19.6,0.3999999999999986,82.9,2.9000000000000057,50,0, TS
348,18971009,10,1,12.4,7.6,61.7,18.299999999999997,50,1, TS
349,18971023,10,0,24.5,4.5,77.3,2.700000000000003,50,1, TS
350,18980802,8,1,26.8,6.800000000000001,79.2,0.7999999999999972,50,1, TS
351,18980830,8,1,29.3,9.3,79.1,0.9000000000000057,50,1, TS
352,18980903,9,1,40.8,20.799999999999997,42.1,37.9,70,0, HU
353,18980905,9,1,11.2,8.8,26.9,53.1,50,0, TS
354,18980912,9,0,12.9,7.1,79.1,0.9000000000000057,50,0, TS
355,18980920,9,0,11.0,9.0,79.8,0.20000000000000284,50,0, TS
356,18980925,9,1,16.2,3.8000000000000007,58.3,21.700000000000003,50,0, TS
357,18980925,9,0,20.5,0.5,84.5,4.5,50,0, TD
358,18981002,10,0,11.4,8.6,57.7,22.299999999999997,50,1, TS
359,18981021,10,0,18.5,1.5,85.8,5.799999999999997,50,1, TS
360,18981027,10,0,17.9,2.1000000000000014,61.2,18.799999999999997,50,1, TS
361,18990626,6,0,27.5,7.5,93.0,13.0,50,3, TS
362,18990728,7,1,17.0,3.0,69.5,10.5,70,2, HU
363,18990803,8,1,11.7,8.3,31.0,49.0,50,1, TS
364,18990829,8,1,16.8,3.1999999999999993,57.3,22.700000000000003,60,1, TS
365,18990903,9,1,13.2,6.800000000000001,38.4,41.6,50,0, TS
366,18991002,10,0,20.0,0.0,84.1,4.099999999999994,50,1, TS
367,18991010,10,0,10.0,10.0,35.0,45.0,50,1, TS
368,18991015,10,0,25.5,5.5,77.5,2.5,50,1, TD
369,18991026,10,1,16.2,3.8000000000000007,78.8,1.2000000000000028,50,1, TS
370,18991107,11,0,11.7,8.3,78.3,1.7000000000000028,50,2, TS
371,19000827,8,1,15.0,5.0,42.1,37.9,50,1, TS
372,19000907,9,1,14.5,5.5,28.0,52.0,50,0, TS
373,19000908,9,1,10.0,10.0,18.5,61.5,50,0, TS
374,19000911,9,0,20.0,0.0,85.2,5.200000000000003,50,0, TS
375,19001004,10,0,21.2,1.1999999999999993,61.3,18.700000000000003,50,1, TD
